CCC[NH+](CCc1cccs1)C1CCc2c(O)cccc2C1	ZINC000000004028
CCC[NH+](CCc1cccs1)C1CCc2c(O)cccc2C1	ZINC000000004028
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1	ZINC000000004076
CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1	ZINC000000004166
CC[NH+](CC)C(C)CN1c2ccccc2Sc2ccccc21	ZINC000000004227
CC(C)C(=O)c1c(C(C)C)nn2ccccc12	ZINC000000004234
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1	ZINC000000004319
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1	ZINC000000004319
NS(=O)(=O)Cc1noc2ccccc12	ZINC000000004321
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1	ZINC000000004351
C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1	ZINC000000004351
CCN(C)C(=O)Oc1cccc(C(C)[NH+](C)C)c1	ZINC000000004413
CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1	ZINC000000004413
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O	ZINC000000004448
Cc1[nH+]ccn1CC1CCc2c(c3ccccc3n2C)C1=O	ZINC000000004448
NC(=O)N1c2ccccc2CC(=O)c2ccccc21	ZINC000000004724
CC(C)CC([NH+](C)C)C1(c2ccc(Cl)cc2)CCC1	ZINC000000004759
OC(CC[NH+]1CCCC1)(c1ccccc1)C1CCCCC1	ZINC000000004760
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	ZINC000000004778
NC(=O)N1c2ccccc2C=Cc2ccccc21	ZINC000000004785
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1	ZINC000000004840
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	ZINC000000004893
C[NH+]1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	ZINC000000004893
C[NH+]1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	ZINC000000004893
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O	ZINC000000004942
[NH3+]CC1(CC(=O)O)CCCCC1	ZINC000000004949
CCC[NH+](CCc1cccs1)C1CCc2c(O)cccc2C1	ZINC000000005151
CCC[NH+](CCc1cccs1)C1CCc2c(O)cccc2C1	ZINC000000005151
CC(C)CC(C[NH3+])CC(=O)O	ZINC000000005152
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O	ZINC000000005423
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	ZINC000000005560
COc1ccc2cccc(CCNC(C)=O)c2c1	ZINC000000005608
CC(Oc1c(Cl)cccc1Cl)C1=[NH+]CCN1	ZINC000000005626
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1	ZINC000000005823
Cc1cccc(Nc2ccncc2S(=O)(=O)N=C(O)NC(C)C)c1	ZINC000000005823
